name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at,latitude,longitude,is_market_coverage
Căn hộ chung cư Trung tâm Vĩnh Long,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Vĩnh Long,Trung tâm,,,,1180244989,57.96,1.0,,,,4.0,5.0,,,,10.26209,105.962061,True
Shophouse Nha Trang Khánh Hòa,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Khánh Hòa,Nha Trang,,,,6109901098,46.18,5.0,,,,2.0,4.0,,,,12.255941,109.202295,True
Đất Trung tâm Quảng Bình,Coverage row generated from market priors and Hugging Face schema.,Đất,Quảng Bình,Trung tâm,,,,3743945203,187.83,0.0,,,,0.0,0.0,,,,17.480961,106.61142,True
Nhà Trung tâm Hà Tĩnh,Coverage row generated from market priors and Hugging Face schema.,Nhà,Hà Tĩnh,Trung tâm,,,,1107667625,44.18,2.0,,,,6.0,4.0,,,,18.321712,105.881497,True
"Chính chủ thiện chí cần bán cc 36m Ecohome 2 - 2,x tỉ","Thông tin tổng quan: Căn hộ Ecohome 2 tọa lạc tại Đường Tân Xuân, Phường Đông Ngạc, Quận Bắc Từ Liêm, TP. Hà Nội, là sự lựa chọn lý tưởng cho những ai tìm kiếm không gian sống hiện đại và tiện nghi. Căn hộ có diện tích 36m2, thiết kế 1PN + 1WC, phù hợp cho các cặp đôi hoặc gia đình nhỏ. Điểm nhấn: Căn hộ được thiết kế hiện đại với đầy đủ nội thất như điều hòa, tủ lạnh, giường ngủ... Hướng cửa chính Bắc và ban công hướng Nam giúp đón ánh sáng tự nhiên, tạo không gian thoáng đãng và dễ chịu. Giá bán chỉ 2,65 tỷ VND, pháp lý đầy đủ, mang đến sự an tâm cho người mua. Giới thiệu tổng quan dự án: Dự án Ecohome 2 do Công ty CP Đầu tư & Thương mại Thủ Đô (Thủ Đô JSC) đầu tư, bao gồm 2 tòa nhà cao 17 tầng, tổng diện tích xây dựng 15.778m2 với 980 căn hộ. Dự án được thiết kế gần gũi với thiên nhiên, tích hợp nhiều tiện ích như khu vườn đi dạo, bể bơi, phòng tập thể thao, và khu vực ẩm thực. Nằm gần công viên Hòa Bình, bến xe Mỹ Đình, và sân bay Nội Bài, Ecohome 2 mang đến cuộc sống tiện nghi và thuận lợi cho cư dân. Tiện ích xung quanh: Căn hộ cách bệnh viện Nam Thăng Long và bệnh viện đa khoa Phương Đông khoảng 2km. Gần các trường học như Tata English - Tài chính, giúp thuận tiện cho việc học tập và chăm sóc sức khỏe. Liên hệ để biết thêm chi tiết: Gọi ngay [phone_number] để được tư vấn, gặp Ms Trang Anh. C",Căn hộ chung cư,Hà Nội,Bắc Từ Liêm,,,,3239295320,34.02,7.0,,,,1.0,1.0,Bắc,Nam,2025-10-27T17:49:35.504000,21.057768,105.771458,False
"Bán nhà Khúc Thừa Dụ - Cầu Giấy, 5T, 18 tỷ, ôtô, lô góc kinh doanh","Nhà 5 tầng cực đẹp, mới xây được 2 năm, chủ bán đi mua nhà to hơn. Trước nhà ôtô tránh, lô góc, ngõ thông và đông, có thể kinh doanh các loại. Cách mặt phố Khúc Thừa Dụ 50m, gần Cầu Giấy, Thành Thái, Trương Công Giai, Trần Quý Kiên, Chùa Hà, Nguyễn Văn Huyên. Diện tích 65m2, mặt tiền 5m, nhà nở hậu, giá 18 tỷ. Liên hệ: Mr Hải chuyên nhà vip Đống Đa - Cầu Giấy",Nhà,Hà Nội,Cầu Giấy,Dịch Vọng,Khúc Thừa Dụ,,13431554227,69.74,4.0,5.0,,4.0,4.0,4.0,,,2025-07-25T13:11:07.523000,21.032047,105.810201,False
"Bán nhà phố Thúy Lĩnh, Hoàng Mai, xây mới kiên cố, ngõ rộng, gần ô tô, 30m2, 5 tầng, giá 4,75 tỷ","Bán nhà phố Thúy Lĩnh, Hoàng Mai, xây mới kiên cố, ngõ rộng, gần ô tô, 30m2, 5 tầng, giá 4,75 tỷ. Nhà xây mới cứng, mua sớm giá đẹp, khu vực đang rất phát triển. Gần ngõ thông, ô tô qua lại, xung quanh là chợ, trường học. Sổ đỏ chính chủ, giao dịch nhanh chóng. Liên hệ em Bang để gặp chủ nhà. - Ngoài ra em Bang còn nhiều nhà, chủ gửi bán: Nhà riêng phố Lĩnh Nam, nhà riêng phố Nam Dư, nhà riêng phố Thanh Lân, nhà riêng phố Đại Đồng, nhà riêng phố Ngũ Nhạc, nhà riêng phố Tây Trà.",Nhà,Hà Nội,Hoàng Mai,Lĩnh Nam,Thúy Lĩnh,,5298668185,28.06,6.0,,,,4.0,2.0,,,2025-06-28T08:45:22.486000,21.016659,105.867105,False
Đất Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Đất,Bà Rịa - Vũng Tàu,Trung tâm,,,,5748790141,115.07,0.0,,,,0.0,0.0,,,,10.535397,107.243933,True
Biệt thự/Nhà liền kề Trung tâm Bà Rịa - Vũng Tàu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bà Rịa - Vũng Tàu,Trung tâm,,,,4436634028,59.75,1.0,,,,3.0,4.0,,,,10.521774,107.256148,True
Biệt thự/Nhà liền kề Trung tâm Long An,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Long An,Trung tâm,,,,11172049786,171.48,1.0,,,,5.0,4.0,,,,10.697281,106.237044,True
